Original_Text,Ground_Truth,Baseline_Predicted_Text,Enhanced_Predicted_Text,LLM_Predicted_Text,Voting_Hybrid_Predicted_Text,RefineBoost_Hybrid_Predicted_Text,Conditional_Hybrid_Predicted_Text
櫻井敦司/今井寿,,櫻井敦司/今井寿,櫻井敦司/今井寿,櫻井敦司/今井寿,櫻井敦司/今井寿,櫻井敦司/今井寿,櫻井敦司/今井寿
William Byrd,William Byrd,William Byrd,William Byrd,William Byrd,William Byrd,William Byrd,William Byrd
Stephen Roslonek,Stephen Roslonek,Stephen Roslonek,Stephen Roslonek,Stephen Roslonek,Stephen Roslonek,Stephen Roslonek,Stephen Roslonek
Raekwon Bailey,Raekwon Bailey,Raekwon Bailey,Raekwon Bailey,Raekwon Bailey,Raekwon Bailey,Raekwon Bailey,Raekwon Bailey
Jerry Herman,Jerry Herman,Jerry Herman,Jerry Herman,Jerry Herman,Jerry Herman,Jerry Herman,Jerry Herman
Martin Briley/Danny Tate,Martin Briley/Danny Tate,Martin Briley/Danny Tate,Martin Briley/Danny Tate,Martin Briley/Danny Tate,Martin Briley/Danny Tate,Martin Briley/Danny Tate,Martin Briley/Danny Tate
Paramitha Rusady,Paramitha Rusady,Paramitha Rusady,Paramitha Rusady,Paramitha Rusady,Paramitha Rusady,Paramitha Rusady,Paramitha Rusady
David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus,David Sitbon/Julien Reichen/Florentin Coquelin/Christoph Grossniklaus
Jaquae Baker,Jaquae Baker,Jaquae Baker,Jaquae Baker,Jaquae Baker,Jaquae Baker,Jaquae Baker,Jaquae Baker
ボンジュール鈴木,,ボンジュール鈴木,ボンジュール鈴木,,ボンジュール鈴木,ボンジュール/鈴木,
Prznt,Prznt,Prznt,Prznt,Prznt,Prznt,Prznt,Prznt
Ganjina & Sarban,Ganjina & Sarban,Ganjina / Sarban,Ganjina/Sarban,Ganjina/Sarban,Ganjina/Sarban,Ganjina/Sarban,Ganjina/Sarban
"Rowe (Collier, Lang, Munoz & Ruelas)",,Rowe (Collier/ Lang/ Munoz / Ruelas),Rowe (Collier/Lang/Munoz/Ruelas),Rowe/Collier/Lang/Munoz/Ruelas,Rowe/Collier/Lang/Munoz/Ruelas,Rowe (Collier/Lang/Munoz/Ruelas),Rowe/Collier/Lang/Munoz/Ruelas
Олег Попков,,Олег Попков,Олег Попков,,Олег Попков,Олег Попков,
ZUN/〜蒼〜,,ZUN/〜蒼〜,ZUN/〜蒼〜,,ZUN/〜蒼〜,ZUN/蒼,
Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway,Dave Audé/Crystal Waters/Neal Brian Conway
Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev,Rauf Mirzaev/Faik Mirzaev
Selwyn Birchwood/Selwyn Birchwood Music,Selwyn Birchwood,Selwyn Birchwood/Selwyn Birchwood Music,Selwyn Birchwood/Selwyn Birchwood Music,Selwyn Birchwood,Selwyn Birchwood/Selwyn Birchwood Music,Selwyn Birchwood/Selwyn Birchwood Music,Selwyn Birchwood
Oscar Pearce/Copyright Control/Marlo Hoogstraten,Oscar Pearce/Marlo Hoogstraten,Oscar Pearce/Copyright Control/Marlo Hoogstraten,Oscar Pearce/Copyright Control/Marlo Hoogstraten,Oscar Pearce/Marlo Hoogstraten,Oscar Pearce/Copyright Control/Marlo Hoogstraten,Oscar Pearce/Copyright Control/Marlo Hoogstraten,Oscar Pearce/Marlo Hoogstraten
Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu,Adam Jameček/Aleksandr Chemeze Odu
Denver Dale,Denver Dale,Denver Dale,Denver Dale,Denver Dale,Denver Dale,Denver Dale,Denver Dale
Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre,Gary Novak/Carl Walker/Scott Kinsey/Timothy LeFebvre/Timothy Lefebvre
Nikolay Bespalov,Nikolay Bespalov,Nikolay Bespalov,Nikolay Bespalov,Nikolay Bespalov,Nikolay Bespalov,Nikolay Bespalov,Nikolay Bespalov
Deborah Lurie,Deborah Lurie,Deborah Lurie,Deborah Lurie,Deborah Lurie,Deborah Lurie,Deborah Lurie,Deborah Lurie
LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.,LOS YANIS DE VILLA DE GPE.
Claudio Monteverdi,Claudio Monteverdi,Claudio Monteverdi,Claudio Monteverdi,Claudio Monteverdi,Claudio Monteverdi,Claudio Monteverdi,Claudio Monteverdi
wondemu jira,wondemu jira,wondemu jira,wondemu jira,wondemu/jira,wondemu jira,wondemu jira,wondemu/jira
Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes,Luke Frizon/Tristan Barnes/Nelson Barnes
YUMIN/Franken/Heondred,YUMIN/Franken/Heondred,YUMIN/Franken/Heondred,YUMIN/Franken/Heondred,YUMIN/Franken/Heondred,YUMIN/Franken/Heondred,YUMIN/Franken/Heondred,YUMIN/Franken/Heondred
"Exøtix,PSYKIDD,J4M",Exøtix/PSYKIDD/J4M,Exøtix/PSYKIDD/J4M,Exøtix/PSYKIDD/J4M,Exøtix/PSYKIDD/J4M,Exøtix/PSYKIDD/J4M,Exøtix/PSYKIDD/J4M,Exøtix/PSYKIDD/J4M
Sameer/Nadeem-Shravan,Sameer/Nadeem-Shravan,Sameer/Nadeem-Shravan,Sameer/Nadeem/Shravan,Sameer/Nadeem-Shravan,Sameer/Nadeem-Shravan,Sameer/Nadeem/Shravan,Sameer/Nadeem-Shravan
Thomas F Blake,Thomas F Blake,Thomas F Blake,Thomas F Blake,Thomas F Blake,Thomas F Blake,Thomas F Blake,Thomas F Blake
Daniel Vernunft,Daniel Vernunft,Daniel Vernunft,Daniel Vernunft,Daniel Vernunft,Daniel Vernunft,Daniel Vernunft,Daniel Vernunft
Udana Prageeth Jerome Silva,Udana/Prageeth/Jerome/Silva,Udana Prageeth Jerome Silva,Udana Prageeth Jerome Silva,Udana Prageeth Jerome Silva,Udana Prageeth Jerome Silva,Udana Prageeth Jerome Silva,Udana Prageeth Jerome Silva
Kaka Barboza,Kaka Barboza,Kaka Barboza,Kaka Barboza,Kaka Barboza,Kaka Barboza,Kaka Barboza,Kaka Barboza
Deepin(디핀)/Liquor(리쿼)/김박첼라(Kim Park Challa),Deepin/Liquor/Kim Park Challa,Deepin(디핀)/Liquor(리쿼)/김박첼라(Kim Park Challa),Deepin(디핀)/Liquor(리쿼)/김박첼라(Kim Park Challa),Deepin/Liquor/Kim Park Challa,Deepin(디핀)/Liquor(리쿼)/김박첼라(Kim Park Challa),Deepin(디핀)/Liquor(리쿼)/김박첼라(Kim Park Challa),Deepin/Liquor/Kim Park Challa
"Hampus Wiberg, Joshua Voß, Wiberg & eedion",Hampus Wiberg/Joshua Voß/Wiberg/eedion,Hampus Wiberg/ Joshua Voß/ Wiberg / eedion,Hampus Wiberg/Joshua Voß/Wiberg/eedion,Hampus Wiberg/Joshua Voß/Wiberg/eedion,Hampus Wiberg/Joshua Voß/Wiberg/eedion,Hampus Wiberg/Joshua Voß/Wiberg/eedion,Hampus Wiberg/Joshua Voß/Wiberg/eedion
ZillaKami,ZillaKami,ZillaKami,ZillaKami,ZillaKami,ZillaKami,ZillaKami,ZillaKami
Mbosso,Mbosso,Mbosso,Mbosso,Mbosso,Mbosso,Mbosso,Mbosso
Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi,Piero Ciampi/Gianfranco Reverberi
Ninguno Ninguno,,Ninguno Ninguno,Ninguno Ninguno,,Ninguno Ninguno,Ninguno Ninguno,
Gary Francois/Serge Ramaekers/Hansbert Vanhove/Copyright Control/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove,Gary Francois/Serge Ramaekers/Hansbert Vanhove/Copyright Control/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove/Copyright Control/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove/Copyright Control/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove/Copyright Control/Gery Francois,Gary Francois/Serge Ramaekers/Hansbert Vanhove/Gery Francois
Nguyễn Minh Anh,,Nguyễn Minh Anh,Nguyễn Minh Anh,Nguyễn Minh Anh,Nguyễn Minh Anh,Nguyễn Minh Anh,Nguyễn Minh Anh
Larry Kimpel,Larry Kimpel,Larry Kimpel,Larry Kimpel,Larry Kimpel,Larry Kimpel,Larry Kimpel,Larry Kimpel
Digital Durian & Astro,Digital Durian & Astro,Digital Durian / Astro,Digital Durian/Astro,Digital Durian/Astro,Digital Durian/Astro,Digital Durian/Astro,Digital Durian/Astro
Xena Aouita & Haja Hamdaouia,Xena Aouita/Haja Hamdaouia,Xena Aouita / Haja Hamdaouia,Xena Aouita/Haja Hamdaouia,Xena Aouita/Haja Hamdaouia,Xena Aouita/Haja Hamdaouia,Xena Aouita/Haja Hamdaouia,Xena Aouita/Haja Hamdaouia
Daniel López Rodríguez & Dora Postigo,Daniel López Rodríguez/Dora Postigo,Daniel López Rodríguez / Dora Postigo,Daniel López Rodríguez/Dora Postigo,Daniel López Rodríguez/Dora Postigo,Daniel López Rodríguez/Dora Postigo,Daniel López Rodríguez/Dora Postigo,Daniel López Rodríguez/Dora Postigo
JAYLEIN CANTRELL,JAYLEIN CANTRELL,JAYLEIN CANTRELL,JAYLEIN CANTRELL,JAYLEIN CANTRELL,JAYLEIN CANTRELL,JAYLEIN CANTRELL,JAYLEIN CANTRELL
Heather Evonne Markham,Heather Evonne Markham,Heather Evonne Markham,Heather Evonne Markham,Heather Evonne Markham,Heather Evonne Markham,Heather Evonne Markham,Heather Evonne Markham
Jane Taylor/Declan Flynn/Copyright Control/Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Jane Taylor/Declan Flynn/Copyright Control/Wolfgang Amadeus Mozart,Jane Taylor/Declan Flynn/Copyright Control/Wolfgang Amadeus Mozart,Jane Taylor/Declan Flynn/Wolfgang Amadeus Mozart,Jane Taylor/Declan Flynn/Copyright Control/Wolfgang Amadeus Mozart,Jane Taylor/Declan Flynn/Copyright Control/Wolfgang Amadeus Mozart,Jane Taylor/Declan Flynn/Wolfgang Amadeus Mozart
Pat Fish/Fire Songs,Pat Fish/Fire Songs,Pat Fish/Fire Songs,Pat Fish/Fire Songs,,Pat Fish/Fire Songs,Pat Fish/Fire Songs,
Aleksandar Dimitrijevic,Aleksandar Dimitrijevic,Aleksandar Dimitrijevic,Aleksandar Dimitrijevic,Aleksandar Dimitrijevic,Aleksandar Dimitrijevic,Aleksandar Dimitrijevic,Aleksandar Dimitrijevic
Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura,Shinichi Mitsui/Yui Ogura
M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari,M.P Yadav/J.P Tiwari
Loïc Leborgne,Loïc Leborgne,Loïc Leborgne,Loïc Leborgne,Loïc Leborgne,Loïc Leborgne,Loïc Leborgne,Loïc Leborgne
"<Unknown>/Rodriguez Loperena, Osvaldo",Rodriguez Loperena/Osvaldo,/Rodriguez Loperena/ Osvaldo,Rodriguez Loperena/Osvaldo,Rodriguez Loperena/Osvaldo,Rodriguez Loperena/Osvaldo,Rodriguez Loperena/Osvaldo,Rodriguez Loperena/Osvaldo
Chris Rea,Chris Rea,Chris Rea,Chris Rea,Chris Rea,Chris Rea,Chris Rea,Chris Rea
Ahmad Eerfan,Ahmad Eerfan,Ahmad Eerfan,Ahmad Eerfan,Ahmad Eerfan,Ahmad Eerfan,Ahmad Eerfan,Ahmad Eerfan
Los Ninos de Yemalla Music SESAC,,Los Ninos de Yemalla Music SESAC,Los Ninos de Yemalla Music SESAC,,Los Ninos de Yemalla Music SESAC,Los Ninos de Yemalla Music SESAC,
Michael Fesser,Michael Fesser,Michael Fesser,Michael Fesser,Michael Fesser,Michael Fesser,Michael Fesser,Michael Fesser
"Soulja Boy,​​Hoopstar Beats",Soulja Boy/Hoopstar Beats,Soulja Boy/​​Hoopstar Beats,Soulja Boy/​​Hoopstar Beats,Soulja Boy/Hoopstar Beats,Soulja Boy/​​Hoopstar Beats,Soulja Boy/​​Hoopstar Beats,Soulja Boy/Hoopstar Beats
حسين حمزة/رفيق حبيقة,,حسين حمزة/رفيق حبيقة,حسين حمزة/رفيق حبيقة,,حسين حمزة/رفيق حبيقة,حسين حمزة/رفيق حبيقة,
Eddie James,Eddie James,Eddie James,Eddie James,Eddie James,Eddie James,Eddie James,Eddie James
Mario Sandoval,Mario Sandoval,Mario Sandoval,Mario Sandoval,Mario Sandoval,Mario Sandoval,Mario Sandoval,Mario Sandoval
Mano Brown/Edi Rock,Mano Brown/Edi Rock,Mano Brown/Edi Rock,Mano Brown/Edi Rock,Mano Brown/Edi Rock,Mano Brown/Edi Rock,Mano Brown/Edi Rock,Mano Brown/Edi Rock
Laurent Scimeca/Cedric De Pasquale/D&P Mode Music (ASCAP)/Gervais Music Publishing (ASCAP)/Sample Pack,Laurent Scimeca/Cedric De Pasquale/ /Sample Pack,Laurent Scimeca/Cedric De Pasquale/D/P Mode Music (ASCAP)/Gervais Music Publishing (ASCAP)/Sample Pack,Laurent Scimeca/Cedric De Pasquale/D/P Mode Music (ASCAP)/Gervais Music Publishing (ASCAP)/Sample Pack,Laurent Scimeca/Cedric De Pasquale,Laurent Scimeca/Cedric De Pasquale/D/P Mode Music (ASCAP)/Gervais Music Publishing (ASCAP)/Sample Pack,Laurent Scimeca/Cedric De Pasquale/D/P Mode Music (ASCAP)/Gervais Music Publishing (ASCAP)/Sample Pack,Laurent Scimeca/Cedric De Pasquale
SIMON JOE (USA 1 - CNTRY)/SPEER MARC DAVID,,SIMON JOE (USA 1 - CNTRY)/SPEER MARC DAVID,SIMON JOE (USA 1/CNTRY)/SPEER MARC DAVID,SIMON JOE/SPEER MARC DAVID,SIMON JOE (USA 1/CNTRY)/SPEER MARC DAVID,SIMON JOE (USA 1/CNTRY)/SPEER MARC DAVID,SIMON JOE/SPEER MARC DAVID
Adem Ciwan,Adem Ciwan,Adem Ciwan,Adem Ciwan,Adem Ciwan,Adem Ciwan,Adem Ciwan,Adem Ciwan
Kid Tune,,Kid Tune,Kid Tune,Kid Tune,Kid Tune,Kid Tune,Kid Tune
Javier San Roman,Javier San Roman,Javier San Roman,Javier San Roman,Javier San Roman,Javier San Roman,Javier San Roman,Javier San Roman
Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy,Larry Gatlin/Jerry Kennedy
M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj,M.S.Bairagi/Surinder Sehaj
Mook Boy,Mook Boy,Mook Boy,Mook Boy,Mook Boy,Mook Boy,Mook Boy,Mook Boy
Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck,Heinrich August Marschner/W.A. Wohlbruck
Melvin Schmitz/18 Karat,Melvin Schmitz/18 Karat,Melvin Schmitz/18 Karat,Melvin Schmitz/18 Karat,Melvin Schmitz,Melvin Schmitz/18 Karat,Melvin Schmitz/18 Karat,Melvin Schmitz
Kieran the Light,Kieran the Light,Kieran the Light,Kieran the Light,Kieran the Light,Kieran the Light,Kieran the Light,Kieran the Light
Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini,Joe Reisman/Henry Mancini
"Katerina Westbrook, Goldi Lux & Kennedy James",Katerina Westbrook/Goldi Lux/ Kennedy James,Katerina Westbrook/ Goldi Lux / Kennedy James,Katerina Westbrook/Goldi Lux/Kennedy James,Katerina Westbrook/Goldi Lux/Kennedy James,Katerina Westbrook/Goldi Lux/Kennedy James,Katerina Westbrook/Goldi Lux/Kennedy James,Katerina Westbrook/Goldi Lux/Kennedy James
Peter Mynte/John Rostill,Peter Mynte/John Rostill,Peter Mynte/John Rostill,Peter Mynte/John Rostill,Peter Mynte/John Rostill,Peter Mynte/John Rostill,Peter Mynte/John Rostill,Peter Mynte/John Rostill
Пётр Ильич Чайковский,,Пётр Ильич Чайковский,Пётр Ильич Чайковский,,Пётр Ильич Чайковский,Пётр Ильич Чайковский,
ZydSounds,ZydSounds,ZydSounds,ZydSounds,ZydSounds,ZydSounds,ZydSounds,ZydSounds
Yaven Mauldin & David McDaniel,Yaven Mauldin/David McDaniel,Yaven Mauldin / David McDaniel,Yaven Mauldin/David McDaniel,Yaven Mauldin/David McDaniel,Yaven Mauldin/David McDaniel,Yaven Mauldin/David McDaniel,Yaven Mauldin/David McDaniel
Gesher/I Am Grime,Gesher/I Am Grime,Gesher/I Am Grime,Gesher/I Am Grime,Gesher/I Am Grime,Gesher/I Am Grime,Gesher/I Am Grime,Gesher/I Am Grime
Charles Nicholas Hayes,Charles Nicholas Hayes,Charles Nicholas Hayes,Charles Nicholas Hayes,Charles Nicholas Hayes,Charles Nicholas Hayes,Charles Nicholas Hayes,Charles Nicholas Hayes
"Masked Wolf,IDK,KayCyy,Sir Nolan,Tyron Hapi,Feli Ferraro",Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro,Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro,Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro,Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro,Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro,Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro,Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro
Juan Peralta,Juan Peralta,Juan Peralta,Juan Peralta,Juan Peralta,Juan Peralta,Juan Peralta,Juan Peralta
James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot
Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore
"Hainze Diaz Arroyo, Neftalí Alvarez Nuñez, Carlkos Crespo Planas & Hector E. Birriel Caraballo",Hainze Diaz Arroyo/Neftalí Alvarez Nuñez/Carlkos Crespo Planas/Hector E. Birriel Caraballo,Hainze Diaz Arroyo/ Neftalí Alvarez Nuñez/ Carlkos Crespo Planas / Hector E. Birriel Caraballo,Hainze Diaz Arroyo/Neftalí Alvarez Nuñez/Carlkos Crespo Planas/Hector E. Birriel Caraballo,Hainze Diaz Arroyo/Neftalí Alvarez Nuñez/Carlkos Crespo Planas/Hector E. Birriel Caraballo,Hainze Diaz Arroyo/Neftalí Alvarez Nuñez/Carlkos Crespo Planas/Hector E. Birriel Caraballo,Hainze Diaz Arroyo/Neftalí Alvarez Nuñez/Carlkos Crespo Planas/Hector E. Birriel Caraballo,Hainze Diaz Arroyo/Neftalí Alvarez Nuñez/Carlkos Crespo Planas/Hector E. Birriel Caraballo
James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich
