raw_comp_writers_text,CLEAN_TEXT
AHN TAI/FRICK SVEEN LOUISE/MINATOZAKI SANA,AHN/TAI/FRICK/SVEEN/LOUISE/MINATOZAKI/SANA
J.P Chaluleau/Gerard Bavoux/J.P Virgil,J.P Chaluleau/Gerard Bavoux/J.P Virgil
"<Unknown>/Wright, Justyce Kaseem",Wright/Justyce Kaseem
高瀬愛虹/Devin Kinoshita,
Sameer/Nadeem-Shravan,Nadeem-Shravan
Zeke N Moon,Zeke N Moon
GO TO THE BEDS/Kenta Matsukuma,GO TO THE BEDS/Kenta Matsukuma
Johnny Ainschough/Alexandre Allix/Samuel Alalade,Johnny Ainschough/Alexandre Allix/Samuel Alalade
Dorian Guerra,Dorian Guerra
BMI,
Leandro Baron Utria,Leandro Baron Utria
Pete Townshend,Pete Townshend
"King Von,Tee Grizzley,Chopsquad DJ,DJ Bandz",King Von/Tee Grizzley/Chopsquad DJ/DJ Bandz
John Lennon/Paul McCartney,John Lennon/Paul McCartney
Aaron Taylor/Charles Robinson,Aaron Taylor/Charles Robinson
"Raymon Marines, Jesus Raul Ortega Jr & Albert Marines",
Benjamin Timothy Duncan & Nathanael Paul Duncan,Benjamin Timothy Duncan/Nathanael Paul Duncan
Jeff Moise Right,
Pablo Milanés,Pablo Milanés
Tiê/Rita Wainer/André Whoong/Adriano Cintra/Giuseppe Anastasi/Érico Theobaldo,Tiê/Rita Wainer/André Whoong/Adriano Cintra/Giuseppe Anastasi/Érico Theobaldo
Helena Hauff,Helena Hauff
Akhenaton/A Day A Dream,Akhenaton
Bryan Wells/Ron Miller,Bryan Wells/Ron Miller
Max Cameron Concors,Max Cameron Concors
Christopher Walter Mackenzie/John Andrew Poirier/William Leslie Farrant/Anand Vimal Greenwell/Neil James Cooke-Dallin/Robert Piers Henwood/Michelle Leus,Christopher Walter Mackenzie/John Andrew Poirier/William Leslie Farrant/Anand Vimal Greenwell/Neil James Cooke-Dallin/Robert Piers Henwood/Michelle Leus
Jung Sik Kong,Jung Sik Kong
Michael Hoenig,Michael Hoenig
0,
Darren Malic Carr,Darren Malic Carr
BOSTROM FREDRIK HAKAN/OBERG ANDREAS GUSTAV ERIK/ZERO YVES & ADAMS,ZERO YVES & ADAMS
Jan Peter Aaberg/Ronny Aake Johansson,Jan Peter Aaberg/Ronny Aake Johansson
Sinch/Jamie Stem,Sinch/Jamie Stem
Ruedi Rymann/Copyright Control,Ruedi Rymann
Revan,Revan
Hadaiyah Bey/Copyright Control,Hadaiyah Bey
MCSB Team/Copyright Control,MCSB Team
Baps Swaminarayan Sanstha,Baps Swaminarayan Sanstha
zts,zts
Ken/혁/IVeR/RAVI,Ken/RAVI
Liam Barcelo,Liam Barcelo
Dennis Waakop Reijers/Tijs Verwest/Dave Parkinson/Dino Lenny,Dennis Waakop Reijers/Tijs Verwest/Dave Parkinson/Dino Lenny
Martin Landsky/Ed. Starbug/Rückbank,Martin Landsky/Ed. Starbug/Rückbank
Irma Pany,Irma Pany
Miyuki Oka/Kenji Miyashita,Miyuki Oka/Kenji Miyashita
Pixouu/Abdou Gambetta/Copyright Control,Pixouu/Abdou Gambetta
Dai Matsuda,Dai Matsuda
João Só/Ricardo Ferreira,João Só/Ricardo Ferreira
Söz: Sezen Cumhur Önal,Söz: Sezen Cumhur Önal
"<Unknown>/Fulgencio, Cuauhtemoc Mito",Fulgencio/Cuauhtemoc Mito
"Tom Lee Bardwell Jr, Oliver Larsson & Ian Viitala Jacobsen",Tom Lee Bardwell Jr/Oliver Larsson/Ian Viitala Jacobsen
Danny Wong,Danny Wong
Shamir/Nick Sylvester,Shamir/Nick Sylvester
John James Iadevaio & Timothy William Curtin,John James Iadevaio/Timothy William Curtin
"Tee Grizzley,Skilla Baby,JT,Yung Miami",Tee Grizzley/Skilla Baby/JT/Yung Miami
Sasha Sharipov,Sasha Sharipov
Benito Rodriguez,Benito Rodriguez
Gaetano Donizetti,Gaetano Donizetti
CA CROSBY MARTIN/CA DEWS ELLIS D JR/CA MARCH SHARRON L/CA MORRIS ALAN COREY/PA JUDGE & JURY PRODUCTIONS,CROSBY MARTIN/DEWS ELLIS D JR/MARCH SHARRON L/MORRIS ALAN COREY/ JUDGE /JURY PRODUCTIONS
Jimmy Lewis,Jimmy Lewis
Satoshi Iwamizu,Satoshi Iwamizu
"Milly Quezada,Antony Santos",Milly Quezada/Antony Santos
Chitsanupong Lex,Chitsanupong Lex
Richard Wagner,Richard Wagner
Ba San Yao A Pu,Ba San Yao A Pu
BASEMINT/Yasushi Akimoto,BASEMINT/Yasushi Akimoto
Dmitriy Malikov,Dmitriy Malikov
"RADO,RADO,RADO,JEON GOON,RADO,FLYT,FLYT,JEON GOON",/ / JEON GOON /FLYT JEON GOON
Кулаков Олег,
"Tee Grizzley,Skilla Baby,Chopsquad DJ",Tee Grizzley/Skilla Baby/Chopsquad DJ
Kirill Ruslanovich Timoshenko,Kirill Ruslanovich Timoshenko
Amanda Fagan/Grace Thygeson,Amanda Fagan/Grace Thygeson
Lucien Deiss/María Pilar de la Figuera López,Lucien Deiss
"Sinead Harnett, Kathleen Brien & Ross, James",Sinead Harnett/Kathleen Brien/Ross/James
鈴木研一/和嶋慎治,
ISIAH M FIELDS & candace turner,ISIAH M FIELDS/candace turner
Fernando Borrego Linares,Fernando Borrego Linares
John Easdale,John Easdale
Bishop/Nowels/Joyce/Shirakbari,Bishop/Nowels/Joyce/Shirakbari
"Songs of Universal, INC",
Tati Zaqui/Negro Dub/C.R.O,Tati Zaqui/Negro Dub/C.R.O
"<Unknown>/Roth, Andrew",Roth/Andrew
Back on Track Records,
Cam’ron,Cam’ron
Jessie Clay,Jessie Clay
Salomon Salil Lira,Salomon Salil Lira
Hoagy Carmichael/Stuart Gorrell,Hoagy Carmichael/Stuart Gorrell
Pritam/Javed Akhtar,Pritam/Javed Akhtar
Julius James de Belen/Kio Priest,Julius James de Belen
Álvaro Carillo,Álvaro Carillo
Tony Grace/Rob DeBoer,Tony Grace/Rob DeBoer
Ольга Пулатова,
UNKNOWN WRITER,
,
Tia Sillers/Mark D. Sanders,Tia Sillers/Mark D. Sanders
Chris Aylmer/Paul Samson/Bruce Dickinson/Thunderstick,Chris Aylmer/Paul Samson/Bruce Dickinson/Thunderstick
Charlie Puth/Jacob Kasher,Charlie Puth/Jacob Kasher
"The Alchemist,Curren$y",The Alchemist/Curren$y
Nikolay Kirimeli,Nikolay Kirimeli
Stephan Remmler/Gert Krawinkel,
Henry Desmarest,Henry Desmarest
Gwenifer Raymond,Gwenifer Raymond
"MUSIKVERLAG HANS SIKORSKI (GMBH & CO.)/PAERT, ARVO/obo GEMA",PAERT/ARVO
Lui Melendez & Reynaldo Hernandez,Lui Melendez/Reynaldo Hernandez
A. Pastora/F. Galindo,A. Pastora/F. Galindo
"Tiakola,Bné (FRA),HK La Paille,Djens",Tiakola/Bné (FRA)/HK La Paille/Djens
Batakrishna Dey/Sudhin Dasgupta,Batakrishna Dey/Sudhin Dasgupta
Fred Gaisberg/Frédéric Chopin,Fred Gaisberg/Frédéric Chopin
Jaeden Roseborough & PYRXCITER,Jaeden Roseborough/PYRXCITER
Nova Rockafeller,Nova Rockafeller
John Cannon,John Cannon
"<Unknown>/Kearney, Daniel Bernard",
"<Unknown>/Smiley, Billy",Smiley/Billy
Карпов Ярослав Максимович,
Prince Sole,Prince Sole
Thomas Martijn Bard/Lorena Wolf/Myrte Driesenaar,Thomas Martijn Bard/Lorena Wolf/Myrte Driesenaar
Billie Ray Fingers/Dylan Thomas Price/Bruce Fingers,Billie Ray Fingers/Dylan Thomas Price/Bruce Fingers
Brad Roberts,Brad Roberts
Claude Debussy,Claude Debussy
Gurvan Nantel/Amir Haddad/Assaf Tzrouya,Gurvan Nantel/Amir Haddad
Baby Ru,Baby Ru
Justin Hayward,Justin Hayward
Abshari Afghani,Abshari Afghani
Victor Ortiz/Mike Marsicano,Victor Ortiz/Mike Marsicano
Kodak Black,Kodak Black
Casey Hizer,Casey Hizer
"<Unknown>/Trent, Jonathan",Trent/Jonathan
Dagirov Dagir,Dagirov Dagir
Emory Gordy/Dennis Linde,Emory Gordy/Dennis Linde
Johnnie Guilber/Zakk Cash/Julian Comeau,Johnnie Guilber/Zakk Cash/Julian Comeau
Q luv,Q luv
"MIKE (USA),Sideshow,The Alchemist",MIKE/Sideshow/The Alchemist
Nacho Cano,Nacho Cano
Earl Klugh/Bob James,Earl Klugh/Bob James
Dan Hylander,Dan Hylander
امجد حمزه & هدي عربي,
Jesús María Corman/Mikel Erentxun,
Timoy Jones & Yanique Barrett,Timoy Jones/Yanique Barrett
DOMINIO PUBLICO/HARRIOT C/HOPKINSON SIMON RICHARD,
Akira Ifukube,Akira Ifukube
Ini Kamoze/Sly Dunbar/Robbie Shakespeare,Ini Kamoze/Sly Dunbar/Robbie Shakespeare
Phạm Đăng Khương,Phạm Đăng Khương
Robert Din Barbulesti,Robert Din Barbulesti
Yeasin Hossain Neru & Mehedi Hasan Limon,Yeasin Hossain Neru/Mehedi Hasan Limon
Irshad Kamil/Vishal-Shekhar,Irshad Kamil/Vishal-Shekhar
Tyvel Dixon,Tyvel Dixon
Anonymous,Anonymous
Steve Miller,Steve Miller
"RMC Mike,Young King,GrindHard E,Rio Da Yung OG",RMC Mike/Young King/GrindHard E/Rio Da Yung OG
Tim Rice/John Cameron/Nigel Wright/Andrew Lloyd Webber,Tim Rice/John Cameron/Nigel Wright/Andrew Lloyd Webber
Avraham Fried & Various Composers,Avraham Fried/ Various Composers
Sameer/Nadeem-Shravan,Sameer/Nadeem-Shravan
Joe Brook,Joe Brook
Billie Ray Fingers/Bruce Fingers/Andrew James Christie,Billie Ray Fingers/Bruce Fingers/Andrew James Christie
JEFFREY ETHAN CAMPBELL/ WRITER UNKNOWN,JEFFREY ETHAN CAMPBELL
Future/Southside,Future/Southside
Eric Xavier claros,Eric Xavier claros
Nik Hamedi ,
A GILMORE ROBERT B ROB/CA PLOEGMAKERS MARTINUS A THIJS/PA ADARO & ROB GEE,GILMORE/ROBERT/B/ROB/C/PLOEGMAKERS/MARTINUS/THIJS/P/ADARO/&/ROB/GEE
Isaac Hall,Isaac Hall
"<Unknown>/Malloy, Mitch Harry",Malloy/Mitch Harry
CA MAZUR FABIAN/PA FABIAN MAZUR & UNKWN,FABIAN MAZUR
Peach Weber/Victor Pelli,Peach Weber/Victor Pelli
Edson Zuñiga,Edson Zuñiga
Ronnie Wilkins/John Hurley,Ronnie Wilkins/John Hurley
StanWill,StanWill
Curtis Mayfield/Dino Fekaris,Curtis Mayfield/Dino Fekaris
CA JACOBSEN BIBBI/CA JACOBSEN STEFFEN/CA JOERGENSEN HENRIK SKRIVER/PA BIBBI & SNIF,JACOBSEN/BIBBI/JACOBSEN/STEFFEN/JOERGENSEN/HENRIK/SKRIVER/PA/BIBBI/&/SNIF
"<Unknown>/Tuvman, Paul",Tuvman/Paul
Nellie McKay,Nellie McKay
孫偉明/潘偉源,
"Chip Whitesides, Jason Beam, James Ford, Brad Sellers & Kelly Wallace",Chip Whitesides/Jason Beam/James Ford/Brad Sellers/ Kelly Wallace
김우근,
藤江潤士,
Victor Daniel Federico Guerrero Espinoza & Dante Edu Espinosa Sanchez,Victor Daniel Federico Guerrero Espinoza/Dante Edu Espinosa Sanchez
Salaam Remi/Jazmine Sullivan,Salaam Remi/Jazmine Sullivan
Curren$y,Curren$y
Jobete Music Co Inc,Jobete Music Co Inc
Dewayne Dabney,Dewayne Dabney
Nestor Daniel Hoyer,Nestor Daniel Hoyer
Pete Nappi/Jon Bellion/Jimmie Gutch/Gregory Aldae Hein/Leigh-Anne Pinnock/Jonathan David Bellion,Pete Nappi/Jon Bellion/Jimmie Gutch/Aldae Hein/Leigh-Anne Pinnock
Antonio Vivaldi,Antonio Vivaldi
Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky
"BabyTron,Michigan Meech",BabyTron/Michigan Meech
"Jason Kay, Toby Smith, Stuart Zender, Simon Katz & Wallis Buchanan",Jason Kay/Toby Smith/Stuart Zender/Simon Katz
屠穎/林大方/黃韻玲/Ming Huang Yang,Ming Huang Yang
SayWeCanFly,SayWeCanFly
Mbosso,Mbosso
"<Unknown>/Lawrence, Omari Abiola",Lawrence/Omari Abiola
Josquin Des Prez,Josquin Des Prez
Jesper Kyd,Jesper Kyd
Sado Khan & Ayan Kakar,Sado Khan/Ayan Kakar
Richard Bock/Charlie Parker/Michael Cuscuna,Richard Bock/Charlie Parker/Michael Cuscuna
Justin McDonald,Justin McDonald
Roger Waters/David Gilmour,Roger Waters/David Gilmour
Colson Baker/Derek “MOD SUN” Smith/John Feldmann/Avril Lavigne,Colson Baker/Derek “MOD SUN” Smith/John Feldmann/Avril Lavigne
Cathrine Legardh/Eddie DeLange/Louis Alter,Cathrine Legardh/Eddie DeLange/Louis Alter
Alfredo Lopez,Alfredo Lopez
VCPMC,
Sybersound/Queen Liliʻuokalani,Queen Liliʻuokalani
Tasuku Kashiwagi,Tasuku Kashiwagi
"Alexis (PR),Fido,De La Ghetto,Arcángel",Alexis (PR)/Fido/De La Ghetto/Arcángel
Joachim Wolf/Achim Radloff/Beatrice Egli/Joachim Hans Wolf,Joachim Wolf/Achim Radloff/Beatrice Egli/Joachim Hans Wolf
Daniel Kim (김다니엘),Daniel Kim
Kala Sangam,Kala Sangam
Marcus D,Marcus D
Avi Rosenfeld,Avi Rosenfeld
Dave Mustaine,Dave Mustaine
The Toy Hearts/Copyright Control,The Toy Hearts
"<Unknown>/Rodriguez, Jeremy William",Rodriguez/Jeremy William
Traditional/Public Domain,
Mansij Madaan,Mansij Madaan
Copyright Control/Gabriel Prokofiev,Gabriel Prokofiev
AFPI,
James Joshua Otto,James Joshua Otto
Robin Ogden,Robin Ogden
Gaio Chiocchio/Gilles Péram/Riccardo Cocciante,Gaio Chiocchio/Gilles Péram/Riccardo Cocciante
Hanawa,Hanawa
Ramon Claudiu Pal & Ionut Bejinariu,Ramon Claudiu Pal/Ionut Bejinariu
Nicolás Urquiza,Nicolás Urquiza
Harry Beckett,Harry Beckett
Johannes Brahms/Wilhelm Hellweg,Johannes Brahms/Wilhelm Hellweg
Joe Schmoe/Eric Hadley,
Gerald Gillum/Christoph Andersson,Gerald Gillum/Christoph Andersson
Jesse Colin Young,Jesse Colin Young
Harmonize,Harmonize
Whobody Publishing,
Les Pattinson/Will Sergeant/Ian Mcculloch/Pete DeFreitas,Les Pattinson/Will Sergeant/Ian Mcculloch/Pete DeFreitas
"<Unknown>/Sanchez, Fernando",Sanchez/Fernando
Randy Bachman,Randy Bachman
Heitor Pereira,Heitor Pereira
Percy Mayfield,Percy Mayfield
Rufus Moore/Cory Peterson,Rufus Moore/Cory Peterson
WREN MUSIC CO,
JOSE DEL CARMEN GARABITA MURAN,JOSE DEL CARMEN GARABITA MURAN
Andrew Gold,Andrew Gold
Antoine Ferrand/Christopher Raeburn/Wolfgang Amadeus Mozart,Antoine Ferrand/Christopher Raeburn/Wolfgang Amadeus Mozart
Sipili Nanai,Sipili Nanai
John Lennon,John Lennon
David Mark Hall/James Michael Hall-Brown,
Fruits Music/copyright control,
Augusto Hernández/Luis Tárraga/J. Molly,Augusto Hernández/Luis Tárraga/J. Molly
MISIA/松井寛,MISIA
David Tesar,David Tesar
M.I.N.D,M.I.N.D
GROOVE SURFERS/鈴木計見,GROOVE SURFERS
David Prowse/Brian Andrew King,David Prowse/Brian Andrew King
Jack Splash/CeeLo Green,Jack Splash/CeeLo Green
Dispatch/Brad Corrigan/BMG BUMBLEBEE OBO ARSED MUSIC/KOBALT MUSIC PUB AMERICA I OBO TALK STRETCH PUBLISHING/Cloudberry Farm Publishing (BMI) Adminstered by Songs of Kobalt Music Publishing/Who Is That Man Publishing (BMI) Adminstered by Songs of Kobalt Music Publishing/Pete Repete Publishing (BMI) Adminstered by Songs of Kobalt Music Publishing,Dispatch/Brad Corrigan/) Adminstered by Songs of Kobalt Music Publishing
Soziedad Alkoholika,Soziedad Alkoholika
Jatin-Lalit,Jatin-Lalit
Nahúm Francisco Peláez Mariano,Nahúm Francisco Peláez Mariano
V. Stewart,V. Stewart
BoofPaxkMooky,BoofPaxkMooky
Daniel Parrilla,Daniel Parrilla
Jack Stauber,Jack Stauber
Agustín Lara,Agustín Lara
"<Unknown>/Mendoza, Homy",Mendoza/Homy
"<Unknown>/Payne, Donald",Payne/Donald
Norma Pelico,Norma Pelico
K. Rudolf/C. Berishaj/J. Halavacs/Kevin Rudolf/Jeff Halatrax/Savan Kotecha,K. Rudolf/C. Berishaj/J. Halavacs/Kevin Rudolf/Jeff Halatrax/Savan Kotecha
Ric Ocasek,Ric Ocasek
Jerrell Bailey,Jerrell Bailey
Trad.,Trad.
Ferruccio Busoni,Ferruccio Busoni
Jacob Daniel Wipf/James Robert Mckenney/Jonathan Walter Diehl/Kevin Brandon Kruelle,Jacob Daniel Wipf/James Robert Mckenney/Jonathan Walter Diehl/Kevin Brandon Kruelle
Richard Melville Hall,Richard Melville Hall
Rich the Kid/Cassius Jay,Rich the Kid/Cassius Jay
Lisandro Meza,Lisandro Meza
SLYMON & Smirn,
Nhật Trung,
Karen Itzel Sanchez,Karen Itzel Sanchez
CHASE B/Aaron Booe/Teddy Walton/Gerald Tiller/Chase Benjamin/Jacques Webster/Maurice Gleaton/Jeffery Williams/Bernard Leverette/Jamall Willingham/Mathangi Arulpragasam,CHASE B/Aaron Booe/Teddy Walton/Gerald Tiller/Chase Benjamin/Jacques Webster/Maurice Gleaton/Jeffery Williams/Bernard Leverette/Jamall Willingham/Mathangi Arulpragasam
Rubeinstein McClure,Rubeinstein McClure
Kevin Gates,Kevin Gates
RiskTaker D-Boy,RiskTaker D-Boy
GetRichZay,GetRichZay
Blind Lemon Jefferson,Blind Lemon Jefferson
Nikolai Rimsky-Korsakov,Nikolai Rimsky-Korsakov
CA STREUTGERS THOMAS L/PA TOMMY TORNADO & THE CLERKS,STREUTGERS/THOMAS/L/PA/TOMMY/TORNADO/&/THE/CLERKS
"<Unknown>/Payano, Antonio",Payano/Antonio
Dianer Moreno Betancourth,Dianer Moreno Betancourth
Jorge Navarrete/Eduardo Antonio Baptista Lucio,Jorge Navarrete/Eduardo Antonio Baptista Lucio
lexo,lexo
Gezin/Juice WRLD/Max Lord/NILS,Gezin/Juice WRLD/Max Lord/NILS
Goblin Mixes,Goblin Mixes
李斌,
Morty Shad,Morty Shad
Ngọc Chánh/Phạm Duy,
Ali&/Eill/Jun,Ali/Eill/Jun
Олег Скобля,
Andres Allen/Hilarop Duran,Andres Allen/Hilarop Duran
Rudi Stephan/Gerda von Robertus,Rudi Stephan/Gerda von Robertus
Madalyn Simon,Madalyn Simon
Mithra 眞/Tablo/DJ Tukutz,Mithra/Tablo/DJ Tukutz
Mario Javier Coto,Mario Javier Coto
Wyatt Towler,Wyatt Towler
Nathan William Hose,Nathan William Hose
Premo Rice,Premo Rice
Yanko Rojas Mena,Yanko Rojas Mena
"Punchy Punch Productionz. Presentz Pimpz, Playaz & Hustlaz(Dominator of Triple C, Selo, Punchy Punch, Kid Frost)",Punchy Punch Productionz. Presentz Pimpz/Playaz & Hustlaz(Dominator of Triple C/Selo/Punchy Punch/Kid Frost
Dominic Angas,Dominic Angas
Shiv-Hari/Shahryar,Shiv-Hari/Shahryar
"Abbott, Charles",Abbott/Charles
Rich the Factor,Rich the Factor
"ALLBLACK,Nef The Pharaoh,Rexx Life Raj",ALLBLACK/Nef The Pharaoh/Rexx Life Raj
Seyi Vibez,Seyi Vibez
James Williams/Hubert Eaves III,James Williams/Hubert Eaves III
Juan Valdivia/Bunbury/Pedro Andreu/Joaquín Cardiel,Juan Valdivia/Bunbury/Pedro Andreu/Joaquín Cardiel
Andreas Bygdell/Johan Wahlberg/Lina Ohman/Olov Andersson,Andreas Bygdell/Johan Wahlberg/Lina Ohman/Olov Andersson
Adam Anders/Peer Astrom/Ryan Murphy/Stephen Sondheim/Leonard Bernstein,Adam Anders/Peer Astrom/Ryan Murphy/Stephen Sondheim/Leonard Bernstein
Nil Moliner,Nil Moliner
Pedro Murart,Pedro Murart
Warner Chappell,
Salvatore Cammarano/Giuseppe Verdi,Salvatore Cammarano/Giuseppe Verdi
Irisvaldo Silva,Irisvaldo Silva
Ciro Paniagua,Ciro Paniagua
Megalodon,
Douglas Besterman/Stephen Flaherty/Lynn Ahrens,Douglas Besterman/Stephen Flaherty/Lynn Ahrens
四方章人/万城たかし,
Lukas Stütz,Lukas Stütz
Daniel Pearce/Nesbitt Wesonga Jr.,Daniel Pearce/Nesbitt Wesonga Jr.
Brad Michael Tukes,Brad Michael Tukes
김창환,
Elijah Lewis,Elijah Lewis
Anne Jennifer Dudley/Paul Robert Morley/Gary Michael Langan/Lah Pat/Trevor Charles Horn/Johnny Simmons/Jonathan Edward Stephen,Anne Jennifer Dudley/Paul Robert Morley/Gary Michael Langan/Lah Pat/Trevor Charles Horn/Johnny Simmons/Jonathan Edward Stephen
Tasleem Fazli,Tasleem Fazli
"Baker,Haarper",Baker/Haarper
Sean Feucht/Scott Ligertwood/Brooke Fraser,Sean Feucht/Scott Ligertwood/Brooke Fraser
Lloyd James Jr,Lloyd James Jr
Ebenezer Obey,Ebenezer Obey
Patrick Tang/Riley Lam,Patrick Tang/Riley Lam
"<Unknown>/Walker, Quameo",Walker/Quameo
Jim Brickman,Jim Brickman
M. Hoffmans,M. Hoffmans
Queen Key,Queen Key
Scott Fitzgerald,Scott Fitzgerald
Hi Power,Hi Power
たかやん (Takayan),Takayan
Kevin L Barnes,Kevin L Barnes
Sternell Christopher Johnson/Darius Ramelo Lee,Sternell Christopher Johnson/Darius Ramelo Lee
Patrick Hawes,Patrick Hawes
徐朗,
Royce da 5′9″/Mr. Porter,Royce da 5′9″/Mr. Porter
"<Unknown>/Goad, Larry",Goad/Larry
Lucas Hoge/Corey Lee Barker,Lucas Hoge/Corey Lee Barker
Trellion/Ryan Kirk/Bad Taste Music/Luke Valerio-Depledge,Trellion/Ryan Kirk/Luke Valerio-Depledge
Ethan Gluis,Ethan Gluis
Kedrick Rodiguez Anguiano,Kedrick Rodiguez Anguiano
ビッケブランカ,
Arthur Nery,Arthur Nery
Jissel Shaddai Carvajalino Acosta,Jissel Shaddai Carvajalino Acosta
Los Zultannes del Norte,Los Zultannes del Norte
Michel Crosio/Marla Glen,Michel Crosio/Marla Glen
Kevin Dejean,Kevin Dejean
Don Black/Andrew Lloyd Webber/Charles Hart,
MacRae,MacRae
Lou Reed,Lou Reed
Sharma & Singh,Sharma/Singh
Naoto Kubo,Naoto Kubo
Chick Corea,Chick Corea
Marco Benassi/Salena Mastroianni/Nicholas Henriques/Kelli-Leigh Henry-Davila/Riccardo Marchi,Marco Benassi/Salena Mastroianni/Nicholas Henriques/Kelli-Leigh Henry-Davila/Riccardo Marchi
Jacques-Christophe Naudot,Jacques-Christophe Naudot
Fryderyk Chopin,Fryderyk Chopin
Deezy/Durk Banks/Dequin Ramey/Herbert Wright,Deezy/Durk Banks/Dequin Ramey/Herbert Wright
PUBLISHER UNKNOWN/WRITER UNKNOWN,
Isaiam,Isaiam
Todd Christensen,Todd Christensen
"<Unknown>/Tonks, Simon",Tonks/Simon
Trương Quang Tuấn,
Evandro Santos,Evandro Santos
BASHIR  OMAR/WAJDI  MURAD/WRITER UNKNOWN,BASHIR/OMAR/WAJDI/MURAD
Adam Anderson/Theo Hutchcraft,Adam Anderson/Theo Hutchcraft
Andrea Ronchi,Andrea Ronchi
Btg Bug,Btg Bug
Sutton Kelley,Sutton Kelley
John Larkin/Antonio Nunzio Catania,John Larkin/Antonio Nunzio Catania
Tan DaGod/Panamathekid,Tan DaGod/Panamathekid
